Geographic area name,,,2012 NAICS code,Meaning of 2012 NAICS code,,,Meaning of Type of operation or tax status code,,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
South Dakota,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,73,"2,095,418","50,706","12,982",877,N,N
South Dakota,,,44-45,Retail trade,,,Total,,2012,"3,843","13,791,827","1,127,273","271,247","49,867","7,648","256,519"
South Dakota,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"1,146","1,526,204","370,640","89,862","9,549","2,914","311,140"
South Dakota,,,51,Information,,,Total,,2012,446,N,"286,280","73,456","6,750",612,"16,737"
South Dakota,,,52,Finance and insurance,,,Total,,2012,"1,958",N,"1,253,680","341,607","26,472","2,992","169,323"
South Dakota,,,53,Real estate and rental and leasing,,,Total,,2012,962,"582,825","105,689","23,348","3,526","7,249","674,664"
South Dakota,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"1,822","1,315,353","482,252","113,868","11,144","5,932","189,326"
South Dakota,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"1,806","1,310,001","479,539","113,200","11,083",N,N
South Dakota,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,16,"5,352","2,713",668,61,N,N
South Dakota,,,55,Management of companies and enterprises,,,Total,,2012,159,"437,861","373,940","99,281","4,684",N,N
South Dakota,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"1,085","807,158","316,106","72,842","11,555","3,823","73,210"
South Dakota,,,61,Educational services,,,All establishments,,2012,128,"32,593","11,253","2,943",750,"1,481","14,963"
South Dakota,,,61,Educational services,,,Establishments subject to federal income tax,,2012,100,"24,161","8,025","2,231",647,N,N
South Dakota,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,28,"8,432","3,228",712,103,N,N
South Dakota,,,62,Health care and social assistance,,,All establishments,,2012,"2,298","6,211,731","2,558,428","602,184","63,494","5,037","129,249"
South Dakota,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"1,544","2,023,230","829,827","195,155","20,514",N,N
South Dakota,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,754,"4,188,501","1,728,601","407,029","42,980",N,N
South Dakota,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,668,"437,205","102,872","22,927","6,204","3,293","53,495"
South Dakota,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,526,"352,756","73,028","16,745","4,636",N,N
South Dakota,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,142,"84,449","29,844","6,182","1,568",N,N
South Dakota,,,72,Accommodation and food services,,,Total,,2012,"2,363","1,873,699","514,205","117,331","37,974",986,"34,221"
South Dakota,,,81,Other services (except public administration),,,All establishments,,2012,"1,805","939,469","214,113","50,847","8,371","8,731","219,691"
South Dakota,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"1,363","578,227","152,946","36,204","6,155",N,N
South Dakota,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,442,"361,242","61,167","14,643","2,216",N,N
Tennessee,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,193,"1,035,790","172,443",N,"3,358",333,"23,727"
Tennessee,,,22,Utilities,,,Total,,2012,144,Q,"201,896","48,371","3,256",271,"10,627"
Tennessee,,,23,Construction,,,Total,,2012,"8,627","22,904,889","4,408,932","958,542","101,770","62,078","3,618,277"
Tennessee,,,42,Wholesale trade,,,Wholesale Trade,,2012,"6,902","169,781,411","6,170,062","1,490,465","112,664","7,325","634,655"
Tennessee,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"5,828","111,718,421","4,863,305","1,151,583","92,537",N,N
Tennessee,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,458,"44,363,534","1,058,737","282,346","14,635",N,N
Tennessee,,,44-45,Retail trade,,,Total,,2012,"22,615","91,641,605","7,420,271","1,815,206","306,078","41,564","2,054,794"
Tennessee,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"4,047","18,039,709","5,168,090","1,227,530","132,825","19,904","1,418,113"
Tennessee,,,51,Information,,,Total,,2012,"2,489",N,"2,673,682","668,697","48,231","6,623","225,125"
Tennessee,,,52,Finance and insurance,,,Total,,2012,"9,726",N,"7,171,229","1,915,842","112,241","13,386","895,570"
Tennessee,,,53,Real estate and rental and leasing,,,Total,,2012,"5,470","6,178,359","1,220,015","294,639","30,593","36,971","3,439,979"
Tennessee,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"10,863","14,199,535","6,129,454","1,468,500","104,552","51,975","2,203,985"
Tennessee,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"10,815",D,D,D,l,N,N
Tennessee,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,48,D,D,D,i,N,N
Tennessee,,,55,Management of companies and enterprises,,,Total,,2012,"1,452","1,403,777","7,705,875","2,054,023","81,987",N,N
Tennessee,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"6,572","12,733,804","5,935,798","1,421,634","213,874","50,473","938,021"
Tennessee,,,61,Educational services,,,All establishments,,2012,878,"615,588","214,260","49,580","8,362","10,331","128,702"
Tennessee,,,61,Educational services,,,Establishments subject to federal income tax,,2012,700,"525,243","182,016","41,910","6,900",N,N
Tennessee,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,178,"90,345","32,244","7,670","1,462",N,N
Tennessee,,,62,Health care and social assistance,,,All establishments,,2012,"14,897","42,383,683","16,227,906","3,864,589","380,453","35,154","1,255,564"
Tennessee,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"12,286","24,541,300","9,563,988","2,212,521","220,313",N,N
Tennessee,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,611","17,842,383","6,663,918","1,652,068","160,140",N,N
Tennessee,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,326","3,355,159","1,150,391","291,891","32,490","27,645","893,182"
Tennessee,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,931","2,793,239","934,833","240,746","20,971",N,N
Tennessee,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,395,"561,920","215,558","51,145","11,519",N,N
Tennessee,,,72,Accommodation and food services,,,Total,,2012,"12,004","12,499,013","3,546,472","837,915","241,348","7,275","275,925"
Tennessee,,,81,Other services (except public administration),,,All establishments,,2012,"8,117","6,525,842","1,711,393","412,504","55,990","88,890","1,995,888"
Tennessee,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"6,521","3,896,024","1,201,136","287,573","44,354",N,N
Tennessee,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,596","2,629,818","510,257","124,931","11,636",N,N
Texas,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,"7,215","162,451,051","19,019,170 (r)",N,"269,883","39,542","3,224,423"
Texas,,,22,Utilities,,,Total,,2012,"1,953",Q,"4,467,197","1,398,455","52,894","2,634","101,661"
Texas,,,23,Construction,,,Total,,2012,"34,649","146,169,966","27,842,066","6,378,442","573,225","253,628","15,284,366"
Texas,,,42,Wholesale trade,,,Wholesale Trade,,2012,"32,656","1,129,150,714","31,453,881","7,956,534","496,603","34,800","3,382,636"
Texas,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"27,752","691,242,607","24,826,089","6,126,817","408,692",N,N
Texas,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,"1,882","384,163,888","5,457,417","1,559,929","63,327",N,N
Texas,,,44-45,Retail trade,,,Total,,2012,"78,281","356,116,376","28,835,477","7,047,850","1,150,148","170,859","7,663,188"
Texas,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"16,998","79,793,699","19,206,695","4,793,674","386,767","109,186","8,419,106"
Texas,,,51,Information,,,Total,,2012,"9,221",N,"16,242,980","4,488,811","230,781","23,224","848,268"
Texas,,,52,Finance and insurance,,,Total,,2012,"39,037",N,"33,435,861","9,764,946","481,749","71,529","5,427,294"
Texas,,,53,Real estate and rental and leasing,,,Total,,2012,"26,639","38,757,418","7,751,827","1,904,693","169,941","162,922","15,617,536"
Texas,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"62,322","122,086,181","47,256,364","11,433,244","639,561","256,013","13,015,128"
Texas,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"62,085","120,954,506","46,783,603","11,318,591","632,486",N,N
Texas,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,237,"1,131,675","472,761","114,653","7,075",N,N
Texas,,,55,Management of companies and enterprises,,,Total,,2012,"4,475","9,218,532","34,921,334","10,635,080","288,253",N,N
Texas,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"26,076","60,650,417","31,350,736","7,503,338","929,661","216,325","4,388,620"
Texas,,,61,Educational services,,,All establishments,,2012,"4,530","3,822,776","1,189,639","290,273","39,957","45,029","665,647"
Texas,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"3,976","3,300,603","1,017,216","247,875","34,321",N,N
Texas,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,554,"522,173","172,423","42,398","5,636",N,N
Texas,,,62,Health care and social assistance,,,All establishments,,2012,"61,342","145,035,130","54,570,574","13,205,009","1,345,664","149,968","4,910,751"
Texas,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"55,176","93,988,052","36,493,145","8,683,016","945,659",N,N
Texas,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"6,166","51,047,078","18,077,429","4,521,993","400,005",N,N
Texas,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"6,304","10,286,839","3,308,591","791,384","119,132","82,709","1,813,794"
Texas,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"4,966","7,770,744","2,523,555","600,564","83,587",N,N
Texas,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,"1,338","2,516,095","785,036","190,820","35,545",N,N
Texas,,,72,Accommodation and food services,,,Total,,2012,"48,721","54,480,811","14,743,753","3,572,178","976,390","37,709","1,607,314"
Texas,,,81,Other services (except public administration),,,All establishments,,2012,"34,116","30,172,182","8,454,469","2,087,374","259,128","305,716","8,355,471"
Texas,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"28,255","21,861,374","6,765,605","1,671,103","216,219",N,N
Texas,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"5,861","8,310,808","1,688,864","416,271","42,909",N,N
Utah,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,438,"8,210,924","952,284",N,"13,354",572,"45,687"
Utah,,,22,Utilities,,,Total,,2012,214,Q,"374,644","98,862","4,319",139,"4,274"
Utah,,,23,Construction,,,Total,,2012,"7,298","16,331,129","2,713,158","594,994","64,516","16,531","940,711"
Utah,,,42,Wholesale trade,,,Wholesale Trade,,2012,"3,664","43,854,221","2,790,774","685,473","50,741","3,782","261,460"
Utah,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"3,015","30,927,885","2,364,429","579,896","43,523",N,N
Utah,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,212,"9,096,576","340,389","85,589","5,043",N,N
Utah,,,44-45,Retail trade,,,Total,,2012,"9,095","38,024,486","3,334,853","806,927","133,535","20,645","793,409"
Utah,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"2,177","8,847,912","1,957,105","481,560","45,945","5,666","432,751"
Utah,,,51,Information,,,Total,,2012,"1,414",N,"2,241,073","568,367","37,498","3,854","126,367"
Utah,,,52,Finance and insurance,,,Total,,2012,"4,865",N,"3,343,768","860,996","52,959","9,195","569,624"
Utah,,,53,Real estate and rental and leasing,,,Total,,2012,"4,446","3,226,135","604,843","138,710","16,197","29,815","2,461,044"
Utah,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"9,009","10,555,077","3,909,003","917,470","76,345","31,656","1,195,850"
Utah,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"8,961","10,415,484","3,860,637","905,792","75,648",N,N
Utah,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,48,"139,593","48,366","11,678",697,N,N
Utah,,,55,Management of companies and enterprises,,,Total,,2012,483,D,D,D,j,N,N
Utah,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"4,007","6,714,308","3,289,069","753,879","108,970","12,658","276,619"
Utah,,,61,Educational services,,,All establishments,,2012,763,"656,069","228,501","58,677","6,822","6,457","81,913"
Utah,,,61,Educational services,,,Establishments subject to federal income tax,,2012,697,"613,319","212,630","54,811","6,149",N,N
Utah,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,66,"42,750","15,871","3,866",673,N,N
Utah,,,62,Health care and social assistance,,,All establishments,,2012,"7,285","14,521,857","5,020,834","1,210,497","126,175","12,929","371,975"
Utah,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"6,601","8,253,618","3,016,832","694,704","77,036",N,N
Utah,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,684,"6,268,239","2,004,002","515,793","49,139",N,N
Utah,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,923,"1,181,370","400,679","112,916","20,749","10,618","209,372"
Utah,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,790,"982,483","330,257","98,297","17,988",N,N
Utah,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,133,"198,887","70,422","14,619","2,761",N,N
Utah,,,72,Accommodation and food services,,,Total,,2012,"5,108","4,789,281","1,362,888","326,916","95,933","1,992","103,132"
Utah,,,81,Other services (except public administration),,,All establishments,,2012,"4,259","2,544,477","723,159","174,116","26,026","27,479","670,253"
Utah,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"3,631","1,875,271","549,203","132,753","21,705",N,N
Utah,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,628,"669,206","173,956","41,363","4,321",N,N
Vermont,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,44,"261,110","27,395",N,548,63,"5,109"
Vermont,,,22,Utilities,,,Total,,2012,65,Q,D,D,g,72,"5,156"
Vermont,,,23,Construction,,,Total,,2012,"2,604","3,038,715","658,900","136,141","15,816","9,423","484,158"
Vermont,,,42,Wholesale trade,,,Wholesale Trade,,2012,809,"12,850,031","565,552","130,205","10,742",886,"65,191"
Vermont,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,696,"6,450,076","464,377","113,198","9,464",N,N
Vermont,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,46,"5,931,745","89,595","14,486","1,085",N,N
Vermont,,,44-45,Retail trade,,,Total,,2012,"3,509","9,933,751","967,057","233,674","38,910","4,427","189,990"
Vermont,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,486,"677,125","200,358","47,894","5,731","1,186","75,966"
Vermont,,,51,Information,,,Total,,2012,507,N,"369,603","89,009","6,775",854,"25,315"
Vermont,,,52,Finance and insurance,,,Total,,2012,990,N,"569,814","161,434","9,039","1,064","63,175"
Vermont,,,53,Real estate and rental and leasing,,,Total,,2012,741,"509,858","103,592","24,035","3,092","5,328","449,756"
Vermont,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"2,113","1,782,043","739,869","169,124","15,948","8,775","319,945"
Vermont,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"2,093","1,762,845","730,918","166,993","15,781",N,N
Vermont,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,20,"19,198","8,951","2,131",167,N,N
Vermont,,,55,Management of companies and enterprises,,,Total,,2012,97,D,D,D,g,N,N
Vermont,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"1,046","581,278","202,685","44,907","7,347","4,522","97,738"
Vermont,,,61,Educational services,,,All establishments,,2012,249,"131,654","38,235","9,345","1,689","1,944","28,310"
Vermont,,,61,Educational services,,,Establishments subject to federal income tax,,2012,155,"54,603","21,075","5,179",999,N,N
Vermont,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,94,"77,051","17,160","4,166",690,N,N
Vermont,,,62,Health care and social assistance,,,All establishments,,2012,"2,096","4,457,996","1,789,229","431,656","44,198","5,074","149,947"
Vermont,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"1,370","1,297,153","578,151","137,029","14,976",N,N
Vermont,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,726,"3,160,843","1,211,078","294,627","29,222",N,N
Vermont,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,451,"351,962","115,758","31,618","7,147","4,161","79,347"
Vermont,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,286,"233,563","73,723","22,905","5,468",N,N
Vermont,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,165,"118,399","42,035","8,713","1,679",N,N
Vermont,,,72,Accommodation and food services,,,Total,,2012,"1,920","1,564,272","493,990","128,875","31,365","1,104","42,548"
Vermont,,,81,Other services (except public administration),,,All establishments,,2012,"1,588","755,436","199,340","48,453","7,211","7,074","196,386"
Vermont,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"1,057","398,367","109,003","26,463","4,255",N,N
Vermont,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,531,"357,069","90,337","21,990","2,956",N,N
Virginia,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,273,"4,001,785","673,557",N,"10,286",233,"13,991"
Virginia,,,22,Utilities,,,Total,,2012,314,Q,"1,398,172","409,725","15,065",395,"15,152"
Virginia,,,23,Construction,,,Total,,2012,"17,114","42,368,104","8,068,948","1,897,964","177,109","58,292","3,207,108"
Virginia,,,42,Wholesale trade,,,Wholesale Trade,,2012,"7,381","120,173,512","6,063,601","1,487,651","106,428","6,996","542,238"
Virginia,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"6,232","86,613,641","4,983,077","1,216,101","88,353",N,N
Virginia,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,399,"19,704,118","823,290","211,883","11,978",N,N
Virginia,,,44-45,Retail trade,,,Total,,2012,"27,415","110,002,385","10,007,879","2,467,583","410,918","41,989","1,436,247"
Virginia,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"4,779","14,857,649","3,926,070","962,064","90,068","24,334","1,249,423"
Virginia,,,51,Information,,,Total,,2012,"3,916",N,"8,080,175","2,231,612","101,402","8,006","268,335"
Virginia,,,52,Finance and insurance,,,Total,,2012,"11,190",N,"11,430,045","3,358,871","153,274","14,874","965,384"
Virginia,,,53,Real estate and rental and leasing,,,Total,,2012,"8,862","11,758,935","2,378,302","578,029","54,246","60,596","5,404,113"
Virginia,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"29,368","92,775,903","36,364,714","8,889,877","429,690","86,799","4,305,067"
Virginia,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"29,176","90,042,173","35,093,571","8,562,798","416,651",N,N
Virginia,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,192,"2,733,730","1,271,143","327,079","13,039",N,N
Virginia,,,55,Management of companies and enterprises,,,Total,,2012,"1,322","1,421,845","6,131,955","1,900,542","62,948",N,N
Virginia,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"10,385","20,309,528","9,041,937","2,185,784","249,802","45,000","974,220"
Virginia,,,61,Educational services,,,All establishments,,2012,"2,100","2,048,655","691,776","173,639","19,327","17,841","264,186"
Virginia,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,794","1,478,589","520,833","132,699","16,095",N,N
Virginia,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,306,"570,066","170,943","40,940","3,232",N,N
Virginia,,,62,Health care and social assistance,,,All establishments,,2012,"18,774","47,705,003","18,628,840","4,460,245","411,108","39,472","1,111,019"
Virginia,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"16,070","25,556,369","10,868,095","2,518,104","236,459",N,N
Virginia,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,704","22,148,634","7,760,745","1,942,141","174,649",N,N
Virginia,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,744","4,243,570","1,268,149","292,428","54,248","29,752","531,309"
Virginia,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,970","2,992,964","875,671","200,802","35,718",N,N
Virginia,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,774,"1,250,606","392,478","91,626","18,530",N,N
Virginia,,,72,Accommodation and food services,,,Total,,2012,"16,832","17,795,901","4,908,554","1,177,786","320,514","7,306","262,954"
Virginia,,,81,Other services (except public administration),,,All establishments,,2012,"14,726","17,079,391","4,471,231","1,096,954","112,430","77,114","1,931,351"
Virginia,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"11,654","6,881,051","2,289,269","564,185","76,041",N,N
Virginia,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"3,072","10,198,340","2,181,962","532,769","36,389",N,N
Washington,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,163,"668,851 (r)","139,251",N,"2,528",241,"22,232"
Washington,,,22,Utilities,,,Total,,2012,297,Q,"759,825","217,502","9,213",326,"11,260"
Washington,,,23,Construction,,,Total,,2012,"17,747","33,710,762","7,090,412","1,564,765","138,671","30,834","1,802,478"
Washington,,,42,Wholesale trade,,,Wholesale Trade,,2012,"9,361","143,082,471","7,083,739","1,721,775","121,805","7,759","642,233"
Washington,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"7,733","83,313,366","5,789,801","1,397,696","103,307",N,N
Washington,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,515,"41,721,034","952,740","246,471","12,260",N,N
Washington,,,44-45,Retail trade,,,Total,,2012,"21,588","118,924,049","8,722,511","2,101,324","307,089","37,816","1,355,303"
Washington,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"4,840","16,790,754","4,274,033","1,057,098","87,862","17,609","1,335,734"
Washington,,,51,Information,,,Total,,2012,"3,281",N,"15,482,134","3,526,418","128,014","7,026","226,457"
Washington,,,52,Finance and insurance,,,Total,,2012,"9,737",N,"7,004,534","1,913,582","97,245","11,569","818,612"
Washington,,,53,Real estate and rental and leasing,,,Total,,2012,"9,913","9,695,455","1,895,112","458,517","45,209","50,509","5,362,885"
Washington,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"20,047","28,283,590","11,976,540","2,820,238","167,512","76,595","3,102,375"
Washington,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"19,882",D,D,D,m,N,N
Washington,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,165,D,D,D,j,N,N
Washington,,,55,Management of companies and enterprises,,,Total,,2012,"1,023","2,048,070","7,626,509","1,982,056","70,317",N,N
Washington,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"9,045","12,741,470","5,445,525","1,303,633","141,235","27,950","613,369"
Washington,,,61,Educational services,,,All establishments,,2012,"2,069","1,191,626","414,230","96,478","16,424","13,411","198,192"
Washington,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,650","957,435","329,459","75,926","12,834",N,N
Washington,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,419,"234,191","84,771","20,552","3,590",N,N
Washington,,,62,Health care and social assistance,,,All establishments,,2012,"19,833","43,966,889","17,833,156","4,269,611","374,227","32,478","1,162,835"
Washington,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"16,888","20,414,038","8,703,184","2,045,032","194,136",N,N
Washington,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,945","23,552,851","9,129,972","2,224,579","180,091",N,N
Washington,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,744","5,093,037","1,552,900","333,892","58,770","26,788","532,788"
Washington,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"2,029","4,079,616","1,177,322","246,408","41,184",N,N
Washington,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,715,"1,013,421","375,578","87,484","17,586",N,N
Washington,,,72,Accommodation and food services,,,Total,,2012,"16,333","14,297,278","4,159,668","980,823","234,145","5,107","221,279"
Washington,,,81,Other services (except public administration),,,All establishments,,2012,"12,425","13,185,169","2,203,332","530,578","69,976","49,869","1,301,822"
Washington,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"9,852","4,710,417","1,503,082","359,541","54,069",N,N
Washington,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,573","8,474,752","700,250","171,037","15,907",N,N
West Virginia,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,616,"15,601,980","2,805,678",N,"40,434","3,282","124,197"
West Virginia,,,22,Utilities,,,Total,,2012,221,Q,"453,649","121,621","5,849",104,"3,981"
West Virginia,,,23,Construction,,,Total,,2012,"3,021","4,974,864","1,116,440","243,744","26,653","9,130","383,098"
West Virginia,,,42,Wholesale trade,,,Wholesale Trade,,2012,"1,553","19,749,055","918,387","228,903","19,901","1,312","101,527"
West Virginia,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"1,334","14,295,437","761,864","190,086","16,906",N,N
West Virginia,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,160,"4,628,851","137,126","34,452","2,511",N,N
West Virginia,,,44-45,Retail trade,,,Total,,2012,"6,393","22,637,923","1,908,476","468,900","85,305","10,697","416,348"
West Virginia,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"1,234","2,796,925","602,177","151,019","15,705","3,571","250,198"
West Virginia,,,51,Information,,,Total,,2012,673,N,"509,224","131,502","10,945",937,"22,464"
West Virginia,,,52,Finance and insurance,,,Total,,2012,"2,148",N,"806,577","219,727","17,875","2,229","97,667"
West Virginia,,,53,Real estate and rental and leasing,,,Total,,2012,"1,405","1,255,751","203,801","47,468","6,011","8,202","607,660"
West Virginia,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"2,974","3,104,847","1,143,370","278,837","24,816","9,410","316,833"
West Virginia,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"2,918","2,804,661","1,053,429","257,255","23,115",N,N
West Virginia,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,56,"300,186","89,941","21,582","1,701",N,N
West Virginia,,,55,Management of companies and enterprises,,,Total,,2012,247,"447,034","370,078","97,681","4,860",N,N
West Virginia,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"1,427","1,744,191","817,110","198,370","31,878","7,548","133,021"
West Virginia,,,61,Educational services,,,All establishments,,2012,166,"72,758","24,755","6,130","1,139","2,381","22,431"
West Virginia,,,61,Educational services,,,Establishments subject to federal income tax,,2012,113,"38,097","13,213","3,176",686,N,N
West Virginia,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,53,"34,661","11,542","2,954",453,N,N
West Virginia,,,62,Health care and social assistance,,,All establishments,,2012,"4,939","12,259,395","4,824,497","1,155,954","129,075","7,460","206,947"
West Virginia,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"3,734","5,125,481","2,107,523","492,000","57,400",N,N
